Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
65,LPD 50,434.300000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch50 (license-free <=10mW)
66,LPD 51,434.325000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch51 (license-free <=10mW)
67,LPD 52,434.350000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch52 (license-free <=10mW)
68,LPD 53,434.375000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch53 (license-free <=10mW)
69,LPD 54,434.400000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch54 (license-free <=10mW)
70,LPD 55,434.425000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch55 (license-free <=10mW)
71,LPD 56,434.450000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch56 (license-free <=10mW)
72,LPD 57,434.475000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch57 (license-free <=10mW)
73,LPD 58,434.500000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch58 (license-free <=10mW)
74,LPD 59,434.525000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch59 (license-free <=10mW)
75,LPD 60,434.550000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch60 (license-free <=10mW)
76,LPD 61,434.575000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch61 (license-free <=10mW)
77,LPD 62,434.600000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch62 (license-free <=10mW)
78,LPD 63,434.625000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch63 (license-free <=10mW)
79,LPD 64,434.650000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch64 (license-free <=10mW)
80,LPD 65,434.675000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch65 (license-free <=10mW)
81,LPD 66,434.700000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch66 (license-free <=10mW)
82,LPD 67,434.725000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch67 (license-free <=10mW)
